course_code,course,School files Link,Study Smarter Link
GEDS 101,Philosophy of Christian Education,https://drive.google.com/drive/folders/1vOYYKqqQado2MzTwqIxvIc4HddJcSN_5?usp=drive_link,Unavailable
GEDS 105,Use of Library and study skills,,Unavailable
GEDS 107,Introduction to General Psychology,Unavailable,Unavailable
GEDS 112,Health Principles,Unavailable,https://app.studysmarter.de/studyset/9602095?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
GEDS 126,Life and Teachings of Jesus the Messiah,Unavailable,https://app.studysmarter.de/studyset/9694605?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
GEDS 131,Communication in English I,Unavailable,Unavailable
GEDS 132,Communication in English  II,Unavailable,Unavailable
GEDS 134,Nigerian People in a Global Culture.,Unavailable,https://app.studysmarter.de/studyset/9770720?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 111,Introduction to Computer Science and Programming I,https://drive.google.com/drive/folders/1cC7fZizerm23TYmRyzR5qGqwv5PA1Xr9?usp=drive_link,Unavailable
COSC 112,Introduction to Computer Science and Programming II,https://drive.google.com/drive/folders/1g6O1CCxFZzILKlzy_Civ0NEq9WAV9UTK?usp=drive_link,https://app.studysmarter.de/studyset/9455397?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
MATH 101,General Mathematics I,https://drive.google.com/drive/folders/13VS5ZASflVcph-9uPkv_HrL-o8J17D9i?usp=drive_link,Unavailable
MATH 102,General Mathematics II,https://drive.google.com/drive/folders/18pPTYthfZ7ts37xgQeUV4UhdRP-yZi4p?usp=drive_link,Unavailable
PHYS 101,General Physics I,https://drive.google.com/drive/folders/1qZd0dZh6MZu23Ll2KSv5F2UNBggJKwCG?usp=drive_link,Unavailable
PHYS 102,General Physics II,https://drive.google.com/drive/folders/1IEud1o9oxnxy-fSYYv9-XD3ifnfGsiEx?usp=drive_link,Unavailable
CHEM 101,General Chemistry 1,https://drive.google.com/drive/folders/1S1_cxwWUowfmUhF52OkdvxKiQDugqtO_?usp=drive_link,Unavailable
STAT 101,Introductory Statistics,https://drive.google.com/drive/folders/18CYn2q7TBIFqb4PSToemjZTJsAfCnzQ7?usp=drive_link,Unavailable
MATH 104,General Mathematics III,https://drive.google.com/drive/folders/1D3LAQwrvRV6RSjUi3xBogxzPzuN9QFja?usp=drive_link,https://app.studysmarter.de/studyset/9479670?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
COSC 107,Configuring Clients Operating Systems,https://drive.google.com/drive/folders/1uxNmtVYcMKdeyXsIxtOAX7Ltpe1Cn9zl?usp=drive_link,Unavailable
COSC 108,Hardware System Studies I (A+),https://drive.google.com/drive/folders/1w83nlbWTRieuoQ9zN3HIlaTy-9JWWBOz?usp=drive_link,https://app.studysmarter.de/studyset/9475245?ref=ARDC2UwPjSKGUYymd3BeXWDXHOjIj00e
GEDS 215,Fundamentals of Christian Faith,https://drive.google.com/drive/folders/1Ot1bEVkpONUwPEKynvhPYp-vWKS24L4-?usp=drive_link,Unavailable
GEDS 221,Introduction to Agriculture,,Unavailable
